缩写,ABBREVIATE
能力,ABILITY
学历,ACADEMIC QUALIFICATI
接受人,ACCEPTER
访问,ACCESS
完成度,ACCOMPLISHMENT
帐户,ACCOUNT
获取中,ACHIEVING
动作,ACTION
加,ADD
合计,ADD UP
累计,ADD UP
附加,ADDITIONAL
地址,ADDR
管理员,ADMIN
别名,ALIAS
交互,ALTERNATE
并且,AND
和,AND
注释,ANNOTATE
应用,APP
申请,APPLY
地区,AREA
擂台,ARENA
指定,ASSIGN
指派,ASSIGN
指派给,ASSIGN TO
最低,AT LEAST
至少,ATLEAST
自动,AUTO
可用,AVAILABLE
平均,AVG
余额,BALANCE
银行,BANK
公告板,BILLBOARD
绑定,BIND
出生,BIRTH
预订,BOOK
断点,BREAK POINT
头像,HEAD
缩略,BREVIARY
生成,BUILD
字节,BYTE
篇章,CANTO
捕获,CATCH
证件,CERT
证书,CERT
换,CHANGE
改变,CHANGE
字符,CHAR
聊天,CHART
聊天室,CHARTROOM
检查,CHECK
中文,CNS
公司,COMPANY
码,CODE
代码,CODE
编码,CODING
收集,COLLECT
竞技,COMBAT
普通,COMMON
条件,CONDITION
会议,CONFERENCE
确定,CONFIRM
内容,CONT
持续,CONTINUE
继续,CONTINUE
校对,CORRECT
正确,CORRECT
校对员,CORRECTOR
计数,COUNT
倒计时,COUNT DOWN
国家,COUNTRY
建立,CREATE
当前,CURRENT
客户,CUST
数据,DATA
日期,DATE
日,DAY
拒绝,DENY
存放,DEPOSIT
描述,DESCR
明细,DETAIL
详细,DETAIL
方言,DIAL
听写,DICTATE
差别,DIFFERENCE
难度,DIFFICULTY
分发,DISTRIBUTE
元,DOLLAR
下载,DOWNLOAD
空,EMPTY
结束,END
英语,ENG
企业,ENT
错误,ERROR
练习,EXERCISE
预计,EXPECTED
失败,FAILD
重大,FATAL
费用,FEE
获取,FETCH
战斗,FIGHT
文件,FILE
填写,FILL
搜索,FIND
完成,FINISH
优先,FIRST
首要,FIRST
标志,FLAG
冻结,FREEZE
好友,FRIEND
友情,FRIENDSHIP
从,FROM
完全,FULL
满员,FULL
全称,FULL NAME
功能,FUNC
模糊,FUZZY
汇总,GATHER
评分,GRADE
严重,GRAVENESS
群组,GROUP
不完整,HALF BAKED
挂机,HANG TRAIN
已,HAS
提示,HINT
同音字,HOMOPHONE
荣誉,HONOUR
小时,HOUR
钟点,HOUR
图标,ICON
导入,IMPORT
在128名内,IN 128
索引,IDX
感应,INDUCE
信息,INF
中,ING
输入,INPUT
完整,INTACT
积分,CREDITS
间隔,INTERVAL
无效的,INVALID
无效,INVALID
是否,IF
从业,JOB
任务,JOB
加入,JOIN
参与,JOIN
位速率,KBPS
保持,KEEP
踢出,KICKOUT
武馆,KUNG FU CLUB
标签,TAG
签条,LABEL
语言,LANG
最后,LAST
长度,LENGTH
级别,LEVEL
等级,LEVEL
程度,LEVEL
许可证,LICENCE
列表,LIST
位置,LOCATION
锁,LOCK
登陆,LOGIN
长,LONG
低,LOW
维护,MAINTAIN
专业,MAJOR
员,MAN
人,MAN
普通话,MANDARIN
地图,MAP
市场,MARKET
最大,MAX
成员,MEMBER
菜单,MENU
经理,MGR
最小,MIN
减,MINUS
分钟,MINUTE
出错,MISTAKE
管理,MNG
手机,MOBILE
修改,MOD
编辑,EDIT
模式,MODE
模块,MODULE
月,MONTH
马赛克,MOSAIC
消息,MSG
必须,MUST
静音,MUTE
我的,MY
姓名,NAME
新,NEW
名称,NAME
否,NO
无,NO
未,NOT
不,NOT
数目,NUM
号码,NUM
数,NUM
编号,NUM
一个,ONE
在线,ONLINE
开户,OPEN
操作,OPERATION
或,OR
机构,ORG
组织,ORG
拥有者,OWNER
包,PACK
段落,PARAGRAPH
参数,PARAM
父,PARENT
通过,PASS
路径,PATH
暂停,PAUSE
每,PER
权限,PERMIS
允许,PERMIT
个人,PERSON
人员,PERSONNEL
照片,PHOTO
提取,PICKUP
平台,PLATFORM
积点,POINT
政治,POLITIC
端口,PORT
职位,POST
到位,PRESENCE
到场,PRESENCE
价格,PRICE
项目,PRJ
进行,PROCESS
属性,PROP
供应商,PROVIDER
代理,PROXY
密码,PSW
公开,PUBLIC
发布人,PUBLISHER
紫,PURPLE
质量,QUALITY
查询,QUERY
快速,QUICK
范围,RANGE
率,RATIO
重新,RE
录音,RECORD
相关,REFER
注册,REGISTER
关系,RELATIONSHIP
关系,REL
剩余,REMAIN
备注,REMARK
报告,REP
资源,RES
保留,RESERVE
角色,ROLE
新手,ROOKIE
运行,RUN
采样率,SAMPLE RATE
场景,SCENE
学校,SCHOOL
查找,SEARCH
秒,SEC
片段,SEGMENT
选择,SELECT
销售,SELL
发送,SEND
发送人,SENDER
序号,SEQNUM
序列,SEQUENCE
服务器,SERVER
设置,SETUP
性别,SEX
签名,SIGN
报名,SIGN UP
大小,SIZE
奴隶,SLAVE
分片,SLICE
小,SMALL
发言人,SPEAKER
速度,SPEED
标准,STANDARD
开始,START
启动,STARTUP
状况,STAT
状态,STATUS
还没,STILL NOT
强,STRONG
学习,STUDY
子,SUB
提交,SUBMIT
字幕,SUBTITLES
成功,SUCCESS
开关,SWITCH
系统,SYS
对话,TALK
时长,TC
固定电话,TEL
电话,TEL
临时,TEMP
测试,TEST
文字,TEXT
文本,TEXT
时间,TIME
次数,TIMES
微小,TINY
到,TO
太,TOO
总数,TOTAL
总,TOTAL
培训,TRAIN
训练,TRAIN
翻译,TRANS
转义,TRANSFERRED MEANING
尝试,TRY
台湾,TW
类型,TYPE
品种,TYPE
单位,UNIT
更新,UPD
上传,UPLOAD
上级,UPPER
用户,USER
有效,VALID
数值,VALUE
版本,VER
视图,VIEW
查看,VIEW
精力,VIGOR
面貌,VISAGE
可见度,VISIBILITY
可见,VISIBLE
语音,VOC
等待,WAIT
方式,WAY
弱,WEAK
即将,WILL
去除,WIPE OFF
工作,WORK
工作区,WORKSPACE
工作台,WORKTABLE
年,YEAR
是,YES
地域,ZONE
区域,ZONE
排序,POSITION
联系,CONTACT
邮件,EMAIL
邮箱,EMAIL
批准,APPROVE
审核,APPROVE
树,TREE
对象,OBJECT
结构,STRUCTURE
节点,NODE
优化,OPTIMIZE
前,PREV
下,NEXT
注册,REG
产品,PRD
商品,PRODUCT
品牌,BRAND
分类,CATEGORY
上架,ON SALE
简介,BRIEF
计量单位,UNIT
关键字,KEYWORDS
货号,STOCK NO
安全库存,SAFETY STOCK
商家,MERCHANT
规格,SPEC
特价,SPECIAL PRICE
支付,PAY
币种,CURRENCY
使用,USE
会员,MEMBER
模板,TEMPLATE
页面,PAGE
主页,HOME
标签,TAG
属性,ATTR
默认,DEFAULT
字典,DICT
允许,ALLOW
选项,OPTION
序列化,SERIALIZE
目录,CATALOG
服务,SERVICE
评论,COMMENT
图片,PICT
匿名,ANONYMOUS
启用,ENABLE
无效,DISABLE
主,MAIN
库,LIB
队列,QUEUE
文章,ARTICLE
标题,TITLE
抬头,TITLE
作者,AUTHOR
源,SOURCE
来源,SOURCE
窗口,WINDOW
展示,SHOW
发布,RELEASE
费率,FEE
物流,LOGISTICS
配送,DELIVERY
规则,RULE
支持,SUPPORT
重量,WEIGHT
货到付款,COD
网上支付,NPS
表达式,EXPRESSION
精华,PRIME
会话,SESSION
商业,BUSINESS
业务,BUSINESS
执行,EXEC
其它,OTHER
礼品,PRESENT
内部,INNER
删除,DELETE
广告,ADVT
空间,SPACE
宽度,WIDTH
高度,HEIGHT
链接,LINK
赠品,GIVEAWAY
优先级,PRIORITY
引擎,ENGINE
折扣,DISCOUNT
卡,CARD
批次,BATCH
批量,BATCH
虚拟,VIRTUAL
生效,EFFECT
激活,ACTIVE
取消,CANCEL
随机,RANDOM
重复,REPEAT
创建,CREATE
发票,INVOICE
限定,LIMIT
机器人,ROBOT
购买,BUY
礼券,COUPON
订单,ORDER
支付宝,ALIPAY
支付,PAYMENT
充值,CHARGE
已使用,USED
售出,SOLD
出售,SELL
作废,CANCELED
交易,TRANSACTION
日志,LOG
原因,REASON
操作员,OPERATOR
充值,CHARGE
网页,WEB
项,ITEM
促销,PROMOTION
已支付,PAID
未支付,UNPAID
关闭,CLOSE
邮编,ZIPCODE
需要,NEED
收货人,RECEIVER
接收方,RECEIVER
街道,STREET
获得,OBTAIN
兑换,EXCHANGE
退货,RETURNED PURCHASE
体积,VOLUME
商标,LOGO
网站,WEBSITE
推荐,RECOMMEND
前端,FRONTEND
后端,BACKEND
目标,TARGET
型号,MODEL
投影,PROJECTION
投影仪,PROJECTOR
灯泡,LAMP
制造商,MAKER
留言,MESSAGE
批准文号,APPROVAL NUMBER
跟踪,TRACKING
追踪,TRACKING
呼叫,CALL
中心,CENTER
国际,INTERNATIONAL
代理商,AGENCY
代理,AGENT
成立,FOUND
主营产品,MAIN PRODUCTS
发展,DEVELOP
历史,HISTORY
法人,LEGAL PERSON
总经理,GENERAL MANAGER
业务经理,BUSINESS MANAGER
主要,MAIN
验证,VALIDATE
表,TABLE
字段,FIELD
疾病,DISEASE
病症,SYMPTOM
问卷,QUESTIONNAIRE
投票,VOTE
答卷,ANSWER SHEET
调整,ADJUST
题目,TOPIC
置顶,TOP
结果,RESULT
建议,SUGGEST
投诉,COMPLAIN
显示,DISPLAY
团购,GROUP BUY
抢购,PANIC BUY
用户自定义,USER DEFINED
定义,DEFINE
双向,TWO WAY
纳税人,TAX PAYER
策略,STRATEGY
扩大,ENLARGE
倍数,MULTIPLE
热卖商品,HOT SALES
热卖,HOT SALES
秒杀,SECKILLING
排行榜,RANKING LIST
附件,ATTACHMENT
货币,MONEY
主题,SUBJECT
主题活动,THEME
重试,RETRY
短信息,SMS
组合商品,COMBINED PRODUCT
配件,ACCESSORIES
定时,TIMING
订阅,SUBSCRIB
包含,INCLUDE
频道,CHANNEL
安装,INSTALL
送,GIVE
收藏,COLLECT
问题,QUESTION
保护,PROTECT
安全,SECURITY
答案,ANSWER
访问量,VISITS
热门,HOT
添加,ADD
回复,REPLY
销量,SALES VOLUME
记录,RECORD
奖励,REWARD
预告,PREVIEW
储值,PREPAID AMOUNT
打印,PRINT
多规格,MULTI SPEC
到货通知,ARRIVAL NOTICE
通知,NOTICE
请求,REQUEST
定制化,CUSTOMIZATION
药品,MEDICINAL
药箱,MEDICAL KIT
接受,ACCEPT
处理,PROCESS
完毕,DONE
对接,DOCKING
计算,CALC
类,CLASS
小图,SMALL PICT
意尚,MODAFEEL
扩展,EXTEND
规模,SCALE
年销售额,ANNUAL SALES
身份证,IDENTITY CARD
作品,WORKS
设计师,DESIGNER
户口,HUKOU
招聘,RECRUITMENT
过期,EXPIRE
失效,FAIL USE
点击,CLICK
书籍,BOOK
封面,COVER
经验,EXPERIENCE
工作性质,JOB DESCRIPTIONS
希望,HOPE
行业,INDUSTRY
薪水,SALARY
技工,MECHANIC
装修技工,ZXJG
浏览,BROWSE
库存,STOCK
行程,TRIP PACKAGE
成人,ADULT
儿童,CHILD
老人,SENIOR
视频,VIDEO
本地,LOCAL
经销商,DISTRIBUTOR
营业执照,BUSINESS LICENSE
合同,CONTRACT
自己,SELF
不良记录,BAD RECORD
返利,REBATE
百分比,PERCENT
目的地,DESTINATION
出发地,POINT OF DEPARTURE
国内,INLAND
出境,DEPARTURE
旅游,TRAVEL
路线,ROUTE
线路,ROUTE
团队,TEAM
出发日期,DATE OF DEPARTURE
签证,VISA
城市,CITY
途经,BY WAY OF
早餐,BREAKFIRST
午餐,LUNCH
晚餐,DINNER
成本,COST
毛利,GROSS MARGIN
让利,SURRENDER PROFITS
门店,OUTLET
外链,EXTERNAL LINK
后,AFTER
解锁,UNLOCK
持续,CONTINOUS
负责人,MANAGER
命中,HIT
内置,BUILT IN
缩略图,THUMBNAIL
医疗,MEDICAL
处方,PRESCRIPTION
挂号,REGISTER
教师,TEACHER
学生,STUDENT
医保,MEDICAL INSURANCE
注射,INJECT
档案,ARCHIVES
缴费,PAY FEE
既往病史,FORMERLY MEDICAL HISTORY
班级,CLASS
部门,DEPARTMENT
生产厂家,MANUFACTURER
剂型,DOSAGE FORM
批准文号,APPROVAL LICENSE NUMBER
批号,BATCH NO
有效日期,EXPIRY DATE
进口,IMPORT
进货价,PURCHASE PRICE
医生,DOCTOR
接诊,RECEIVE PATIENT
急诊,EMERGENCY
服药方式,TAKE WAY
治疗单,TREATMENT RECIPE
治疗,TREATMENT
病情,ILLNESS
领取,RECEIVE
配药,DISPENSING
诊断,DIAGNOSIS
医嘱,DOCTOR ADVICE
通用名,TRIVIAL NAME
监控,MONITOR
预警,WARNING
服用方法,TAKE METHODS
修订,REVISE
物品,GOODS
工资,SALARY
用法,USAGE
拼音,PIN YIN
地址,ADDRESS
住址,ADDRESS
原始,ORIGINAL
短信,SMS
统一,UNIFIED
接收人,RECEIVER
回执,RECEIPT
外部,OUTER
到达,ARRIVE
发布,PUBLISH
周期订购,CYCLICITY ORDER
发货,DELIVERY
元数据,METADATA
运费,FREIGHT
公式,FORMULA
接口,INTERFACE
卖家,SELLER
买家,BUYER
金额,AMOUNT
自提,SELF PICKUP
包裹,PACKAGE
店铺,SHOP
租期,LEASE
子域名,SUBDOMAIN
经度,LON
纬度,LAT
热搜,HOT SEARCH
固定,FIXED
销售价,SALE PRICE
卖点,SELLING POINT
线下,OFFLINE
流水,FLOW
结算,SETTLEMENT
单据,DOCUMENT
签收,SIGNED
筛选,FILTERED
现金,CASH
购物车,SHOPPING CART
图文,IMAGE TEXT
装修,DECORATION
推广,POPULARIZE
屏蔽,BAN
正面,FRONT
背面,BACK
加亮,HIGHLIGHT
微信,WECHAT
代收,AGENT COLLECT
比率,RATE
返利,REBATES
提现,WITHDRAW
取消,CANCEL
合约,CONTRACT
首页,HOMEPAGE
搜索栏,SEARCH BAR
左,LEFT
右,RIGHT
按钮,BUTTON
浮动,FLOAT
底部,BOTTOM
导航条,NAVBAR
风格,STYLE
客服,CUSTOMER SERVICE
渐变,GRADIENT
颜色,COLOR
圆形,CIRCLE
边角,CORNER
矢量,VECTOR
选中,SELECTED
未选,UNSELECTED
轮播,CAROUSEL
超宽,ULTRA WIDE
屏幕,SCREEN
导航,NAVIGATION
边框,BORDER
阴影,SHADOW
橱窗,SHOPWINDOW
背景,BACKGROUND
对齐,ALIGN
隔断,PARTITION
楼层,FLOOR
顶部,TOP
边缘,EDGE
装饰,DECORATE
线型,LINETYPE
更多,MORE
宽高比,ASPECT RATIO
海报,POSTER
限制,LIMIT
优惠券,CUPON
门槛,THRESHOLD
退款,REFUND
正则,REGEXP
正式,FORMAL
小程序,MINA
税务,DUTIABLE
导出,EXPORT
分栏,SUBFIELD
多行,MULTI LINE
色调,TONE
监管,WATCH
分组,GROUP
高亮,HIGHLIGHT
共享,SHARE
佣金,COMMISSION
收益,LUCRE
分享,SHARE
充电桩,CHARGE POINT
设备,EQUIPMENT
厂商,VENDOR
传输,TRANSACTION
停止,STOP
序列号,SERIAL NUMBER
固件,FIRMWARE
事务,TRANSACTION
充电,CHARGE
消耗,COST
电量,ENERGY
计费,COST MONEY